y,x
discomfort,/home/habib/mindcloud/project/dataset/discomfort/64acb345-a61e-4ef3-a5a6-cf83c04b83f1-1430058990597-1.7-m-72-dc.wav
tired,/home/habib/mindcloud/project/dataset/augmented/aug_tired_418_5.wav
discomfort,/home/habib/mindcloud/project/dataset/augmented/aug_discomfort_4_9.wav
tired,/home/habib/mindcloud/project/dataset/augmented/aug_tired_416_0.wav
tired,/home/habib/mindcloud/project/dataset/augmented/aug_tired_429_14.wav
tired,/home/habib/mindcloud/project/dataset/augmented/aug_tired_412_2.wav
tired,/home/habib/mindcloud/project/dataset/augmented/aug_tired_413_6.wav
discomfort,/home/habib/mindcloud/project/dataset/augmented/aug_discomfort_2_0.wav
tired,/home/habib/mindcloud/project/dataset/augmented/aug_tired_422_14.wav
discomfort,/home/habib/mindcloud/project/dataset/augmented/aug_discomfort_24_2.wav
tired,/home/habib/mindcloud/project/dataset/augmented/aug_tired_414_4.wav
hungry,/home/habib/mindcloud/project/dataset/hungry/3030d0e9-0c9b-4616-9b83-f10dc2dedbfd-1430053594259-1.7-m-26-hu.wav
discomfort,/home/habib/mindcloud/project/dataset/augmented/aug_discomfort_15_8.wav
hungry,/home/habib/mindcloud/project/dataset/hungry/1309B82C-F146-46F0-A723-45345AFA6EA8-1430059849-1.0-f-04-hu.wav
tired,/home/habib/mindcloud/project/dataset/tired/cecd525b-18fd-49e3-b2b9-dfb08b93ad95-1430110029205-1.7-m-26-ti.wav
tired,/home/habib/mindcloud/project/dataset/augmented/aug_tired_415_11.wav
hungry,/home/habib/mindcloud/project/dataset/hungry/101c6709-39fb-44dc-b905-7cbeed5714a2-1434361963544-1.7-f-04-hu.wav
discomfort,/home/habib/mindcloud/project/dataset/augmented/aug_discomfort_21_8.wav
hungry,/home/habib/mindcloud/project/dataset/hungry/39180491-e076-4300-b5de-24e812dca6fe-1435708371348-1.7-f-04-hu.wav
hungry,/home/habib/mindcloud/project/dataset/hungry/40a4c760-facf-4911-b0a6-22eccc3ab18d-1430477756469-1.7-f-26-hu.wav
discomfort,/home/habib/mindcloud/project/dataset/augmented/aug_discomfort_11_6.wav
tired,/home/habib/mindcloud/project/dataset/augmented/aug_tired_412_6.wav
hungry,/home/habib/mindcloud/project/dataset/hungry/8c920fd0-fa9f-4926-bcac-074767dcbfcd-1436850948195-1.7-m-04-hu.wav
discomfort,/home/habib/mindcloud/project/dataset/augmented/aug_discomfort_2_9.wav
discomfort,/home/habib/mindcloud/project/dataset/augmented/aug_discomfort_0_6.wav
discomfort,/home/habib/mindcloud/project/dataset/augmented/aug_discomfort_0_1.wav
tired,/home/habib/mindcloud/project/dataset/augmented/aug_tired_414_8.wav
hungry,/home/habib/mindcloud/project/dataset/hungry/3941D08C-5A97-48A4-8830-091D878137F6-1430099826-1.0-m-72-hu.wav
hungry,/home/habib/mindcloud/project/dataset/hungry/3030d0e9-0c9b-4616-9b83-f10dc2dedbfd-1430326171876-1.7-m-26-hu.wav
discomfort,/home/habib/mindcloud/project/dataset/discomfort/7b0e160e-0505-459e-8ecb-304d7afae9d2-1437486974312-1.7-m-04-dc.wav
discomfort,/home/habib/mindcloud/project/dataset/augmented/aug_discomfort_23_12.wav
discomfort,/home/habib/mindcloud/project/dataset/augmented/aug_discomfort_4_2.wav
tired,/home/habib/mindcloud/project/dataset/augmented/aug_tired_426_9.wav
hungry,/home/habib/mindcloud/project/dataset/hungry/86c2b87a-ae7c-46a3-b6fb-7ebe748812cf-1430036562389-1.7-m-04-hu.wav
hungry,/home/habib/mindcloud/project/dataset/hungry/DB95BF4A-E3E5-4429-A660-DBBCF486E6DF-1430664611-1.0-f-72-hu.wav
discomfort,/home/habib/mindcloud/project/dataset/augmented/aug_discomfort_16_9.wav
hungry,/home/habib/mindcloud/project/dataset/hungry/DB95BF4A-E3E5-4429-A660-DBBCF486E6DF-1430664633-1.0-f-72-hu.wav
hungry,/home/habib/mindcloud/project/dataset/hungry/7060a4f6-4c0c-494b-912c-ae60158b185a-1436931995150-1.7-f-04-hu.wav
tired,/home/habib/mindcloud/project/dataset/augmented/aug_tired_425_14.wav
tired,/home/habib/mindcloud/project/dataset/tired/06c4cfa2-7fa6-4fda-91a1-ea186a4acc64-1430029237378-1.7-f-26-ti.wav
tired,/home/habib/mindcloud/project/dataset/augmented/aug_tired_421_13.wav
discomfort,/home/habib/mindcloud/project/dataset/discomfort/999bf14b-e417-4b44-b746-9253f81efe38-1430844994519-1.7-m-04-ch.wav
discomfort,/home/habib/mindcloud/project/dataset/discomfort/999bf14b-e417-4b44-b746-9253f81efe38-1430845018393-1.7-m-26-ch.wav
tired,/home/habib/mindcloud/project/dataset/augmented/aug_tired_424_14.wav
hungry,/home/habib/mindcloud/project/dataset/hungry/08E9485B-2772-444B-A636-77E14DD14A8C-1431493453-1.0-m-04-hu.wav
hungry,/home/habib/mindcloud/project/dataset/hungry/e0cc5beb-50e5-46ef-852e-c92106216e62-1430143334661-1.7-m-04-hu.wav
discomfort,/home/habib/mindcloud/project/dataset/augmented/aug_discomfort_11_11.wav
discomfort,/home/habib/mindcloud/project/dataset/augmented/aug_discomfort_22_8.wav
hungry,/home/habib/mindcloud/project/dataset/hungry/D833237F-1F7C-4338-BEDE-84C0CF5F4145-1430084007-1.0-f-26-hu.wav
discomfort,/home/habib/mindcloud/project/dataset/discomfort/f258a8e2-92cd-4843-9da4-80ed26ec8e10-1436944996156-1.7-f-26-ch.wav
hungry,/home/habib/mindcloud/project/dataset/hungry/090C15A8-5406-4EA5-97A3-81F6527227C0-1430147533-1.0-m-72-hu.wav
hungry,/home/habib/mindcloud/project/dataset/hungry/86c2b87a-ae7c-46a3-b6fb-7ebe748812cf-1430036593222-1.7-f-26-hu.wav
hungry,/home/habib/mindcloud/project/dataset/hungry/8FDA58A7-FDC6-4421-855F-738E6E853E43-1429895780-1.0-m-26-hu.wav
tired,/home/habib/mindcloud/project/dataset/augmented/aug_tired_431_10.wav
tired,/home/habib/mindcloud/project/dataset/augmented/aug_tired_430_14.wav
tired,/home/habib/mindcloud/project/dataset/augmented/aug_tired_415_5.wav
discomfort,/home/habib/mindcloud/project/dataset/augmented/aug_discomfort_23_7.wav
hungry,/home/habib/mindcloud/project/dataset/hungry/7b0e160e-0505-459e-8ecb-304d7afae9d2-1437486941311-1.7-m-04-hu.wav
discomfort,/home/habib/mindcloud/project/dataset/augmented/aug_discomfort_12_1.wav
hungry,/home/habib/mindcloud/project/dataset/hungry/cecd525b-18fd-49e3-b2b9-dfb08b93ad95-1430109958636-1.7-m-26-hu.wav
hungry,/home/habib/mindcloud/project/dataset/hungry/10A40438-09AA-4A21-83B4-8119F03F7A11-1430925172-1.0-f-26-hu.wav
discomfort,/home/habib/mindcloud/project/dataset/augmented/aug_discomfort_21_6.wav
tired,/home/habib/mindcloud/project/dataset/augmented/aug_tired_423_0.wav
hungry,/home/habib/mindcloud/project/dataset/hungry/5f651112-d2a3-4911-b3a5-f37bfc092494-1430734658837-1.7-m-72-hu.wav
discomfort,/home/habib/mindcloud/project/dataset/augmented/aug_discomfort_20_6.wav
discomfort,/home/habib/mindcloud/project/dataset/augmented/aug_discomfort_0_3.wav
discomfort,/home/habib/mindcloud/project/dataset/augmented/aug_discomfort_9_2.wav
tired,/home/habib/mindcloud/project/dataset/augmented/aug_tired_431_3.wav
discomfort,/home/habib/mindcloud/project/dataset/augmented/aug_discomfort_14_12.wav
discomfort,/home/habib/mindcloud/project/dataset/augmented/aug_discomfort_20_8.wav
hungry,/home/habib/mindcloud/project/dataset/hungry/a40b9b8d-e4bc-457a-badf-f38bdbc0c358-1430016745385-1.7-m-04-hu.wav
tired,/home/habib/mindcloud/project/dataset/augmented/aug_tired_426_7.wav
hungry,/home/habib/mindcloud/project/dataset/hungry/B456CE9D-CBD4-43E5-899B-8B8B0483F17D-1431015486-1.0-m-72-hu.wav
hungry,/home/habib/mindcloud/project/dataset/hungry/999bf14b-e417-4b44-b746-9253f81efe38-1431013068243-1.7-m-26-hu.wav
discomfort,/home/habib/mindcloud/project/dataset/augmented/aug_discomfort_23_9.wav
hungry,/home/habib/mindcloud/project/dataset/hungry/ae5a462b-5424-4b5b-82d5-07ccb61654ab-1430405436291-1.7-f-04-hu.wav
tired,/home/habib/mindcloud/project/dataset/augmented/aug_tired_415_13.wav
tired,/home/habib/mindcloud/project/dataset/augmented/aug_tired_414_3.wav
discomfort,/home/habib/mindcloud/project/dataset/augmented/aug_discomfort_12_6.wav
discomfort,/home/habib/mindcloud/project/dataset/augmented/aug_discomfort_13_11.wav
hungry,/home/habib/mindcloud/project/dataset/hungry/85FAB169-4DCC-406D-AC93-2F6A8D797DAB-1437632141-1.1-m-04-hu.wav
tired,/home/habib/mindcloud/project/dataset/augmented/aug_tired_432_13.wav
tired,/home/habib/mindcloud/project/dataset/augmented/aug_tired_430_4.wav
discomfort,/home/habib/mindcloud/project/dataset/augmented/aug_discomfort_14_0.wav
discomfort,/home/habib/mindcloud/project/dataset/augmented/aug_discomfort_21_10.wav
discomfort,/home/habib/mindcloud/project/dataset/augmented/aug_discomfort_7_3.wav
tired,/home/habib/mindcloud/project/dataset/augmented/aug_tired_432_14.wav
tired,/home/habib/mindcloud/project/dataset/augmented/aug_tired_420_4.wav
hungry,/home/habib/mindcloud/project/dataset/hungry/1f40790f-68f2-4e7e-845e-715bd97c82d0-1429979568422-1.7-m-04-hu.wav
discomfort,/home/habib/mindcloud/project/dataset/augmented/aug_discomfort_4_1.wav
tired,/home/habib/mindcloud/project/dataset/augmented/aug_tired_420_10.wav
discomfort,/home/habib/mindcloud/project/dataset/augmented/aug_discomfort_17_2.wav
hungry,/home/habib/mindcloud/project/dataset/hungry/ed31b187-34af-4ff1-979c-3b8a5905fb7b-1430044897699-1.7-f-48-hu.wav
discomfort,/home/habib/mindcloud/project/dataset/augmented/aug_discomfort_22_7.wav
hungry,/home/habib/mindcloud/project/dataset/hungry/D54D9C2A-56ED-4338-9D1F-2ADB4E081DAD-1430036301-1.0-m-48-hu.wav
discomfort,/home/habib/mindcloud/project/dataset/augmented/aug_discomfort_24_10.wav
hungry,/home/habib/mindcloud/project/dataset/hungry/9641D2D5-7D9F-41B2-8345-229AE9555FEC-1430022546-1.0-m-72-hu.wav
hungry,/home/habib/mindcloud/project/dataset/hungry/fa8620d3-e7db-4101-aff0-28dbf0d96a5f-1434465485354-1.7-f-04-hu.wav
discomfort,/home/habib/mindcloud/project/dataset/augmented/aug_discomfort_0_11.wav
tired,/home/habib/mindcloud/project/dataset/augmented/aug_tired_425_12.wav
discomfort,/home/habib/mindcloud/project/dataset/augmented/aug_discomfort_26_11.wav
tired,/home/habib/mindcloud/project/dataset/augmented/aug_tired_412_1.wav
discomfort,/home/habib/mindcloud/project/dataset/discomfort/837fd072-8704-4196-9ff1-1d2c07886e55-1432429478471-1.7-m-22-dc.wav
hungry,/home/habib/mindcloud/project/dataset/hungry/f896b69d-6241-4b51-9c45-0d628bc827c1-1430090274181-1.7-m-04-hu.wav
discomfort,/home/habib/mindcloud/project/dataset/augmented/aug_discomfort_11_8.wav
discomfort,/home/habib/mindcloud/project/dataset/augmented/aug_discomfort_20_3.wav
hungry,/home/habib/mindcloud/project/dataset/hungry/b5044f9a-6f2e-44fc-8e04-9076a988acf2-1435544527174-1.7-m-04-hu.wav
hungry,/home/habib/mindcloud/project/dataset/hungry/24f2a4e1-7161-42a3-a2a2-a29a2422c0b8-1430814741368-1.7-f-26-hu.wav
hungry,/home/habib/mindcloud/project/dataset/hungry/d6cda191-4962-4308-9a36-46d5648a95ed-1431882032820-1.7-m-04-hu.wav
discomfort,/home/habib/mindcloud/project/dataset/augmented/aug_discomfort_11_1.wav
hungry,/home/habib/mindcloud/project/dataset/hungry/4cefc13c-e7c0-4b5a-bddb-c40c103e640a-1431583459308-1.7-f-26-hu.wav
tired,/home/habib/mindcloud/project/dataset/augmented/aug_tired_413_4.wav
tired,/home/habib/mindcloud/project/dataset/augmented/aug_tired_423_10.wav
tired,/home/habib/mindcloud/project/dataset/augmented/aug_tired_425_2.wav
hungry,/home/habib/mindcloud/project/dataset/hungry/40a4c760-facf-4911-b0a6-22eccc3ab18d-1430466164038-1.7-f-26-hu.wav
hungry,/home/habib/mindcloud/project/dataset/hungry/bb2bdafb-0477-4be4-8c41-1a6192e8c6d4-1430637736064-1.7-m-72-hu.wav
tired,/home/habib/mindcloud/project/dataset/augmented/aug_tired_415_14.wav
tired,/home/habib/mindcloud/project/dataset/augmented/aug_tired_420_14.wav
discomfort,/home/habib/mindcloud/project/dataset/augmented/aug_discomfort_14_5.wav
tired,/home/habib/mindcloud/project/dataset/augmented/aug_tired_431_4.wav
discomfort,/home/habib/mindcloud/project/dataset/discomfort/665BDF6D-2897-49F9-8AD0-978B3B2A0468-1430530218-1.0-m-26-dc.wav
tired,/home/habib/mindcloud/project/dataset/augmented/aug_tired_430_15.wav
tired,/home/habib/mindcloud/project/dataset/augmented/aug_tired_413_9.wav
discomfort,/home/habib/mindcloud/project/dataset/augmented/aug_discomfort_15_9.wav
tired,/home/habib/mindcloud/project/dataset/augmented/aug_tired_412_5.wav
tired,/home/habib/mindcloud/project/dataset/augmented/aug_tired_426_15.wav
tired,/home/habib/mindcloud/project/dataset/augmented/aug_tired_414_6.wav
hungry,/home/habib/mindcloud/project/dataset/hungry/602b06a7-31f0-4370-b35a-9cc81d205958-1430907796431-1.7-f-72-hu.wav
hungry,/home/habib/mindcloud/project/dataset/hungry/a56e2494-d2b2-480e-af0b-de9ea8f33572-1436897427825-1.7-f-26-hu.wav
hungry,/home/habib/mindcloud/project/dataset/hungry/0f257dac-7d6f-4575-9192-e3b4dcd3d4ef-1430185441581-1.7-f-26-hu.wav
tired,/home/habib/mindcloud/project/dataset/augmented/aug_tired_415_0.wav
tired,/home/habib/mindcloud/project/dataset/augmented/aug_tired_429_3.wav
tired,/home/habib/mindcloud/project/dataset/augmented/aug_tired_427_10.wav
discomfort,/home/habib/mindcloud/project/dataset/augmented/aug_discomfort_11_7.wav
tired,/home/habib/mindcloud/project/dataset/augmented/aug_tired_423_14.wav
hungry,/home/habib/mindcloud/project/dataset/hungry/50DC5FBC-AC95-44F2-B55F-E4E5FB03AC96-1430108024-1.0-m-26-hu.wav
hungry,/home/habib/mindcloud/project/dataset/hungry/40a4c760-facf-4911-b0a6-22eccc3ab18d-1430466393384-1.7-f-26-hu.wav
hungry,/home/habib/mindcloud/project/dataset/hungry/9CFD61B9-BF13-406D-8B2F-F73CFAAF25CB-1430927741-1.0-f-04-hu.wav
hungry,/home/habib/mindcloud/project/dataset/hungry/F95D4BCE-2FB0-4A0C-A058-BFB0674539AF-1430055800-1.0-m-26-hu.wav
hungry,/home/habib/mindcloud/project/dataset/hungry/f896b69d-6241-4b51-9c45-0d628bc827c1-1430090400166-1.7-m-72-hu.wav
discomfort,/home/habib/mindcloud/project/dataset/augmented/aug_discomfort_22_11.wav
tired,/home/habib/mindcloud/project/dataset/augmented/aug_tired_427_7.wav
discomfort,/home/habib/mindcloud/project/dataset/augmented/aug_discomfort_25_10.wav
tired,/home/habib/mindcloud/project/dataset/augmented/aug_tired_425_7.wav
hungry,/home/habib/mindcloud/project/dataset/hungry/8b1faa77-e3ac-48af-bf2a-58aadebefcba-1436798541805-1.7-m-04-hu.wav
tired,/home/habib/mindcloud/project/dataset/augmented/aug_tired_425_6.wav
hungry,/home/habib/mindcloud/project/dataset/hungry/8f4dbf5a-b504-4452-b6ac-94e646a6a052-1430729451597-1.7-f-72-hu.wav
discomfort,/home/habib/mindcloud/project/dataset/augmented/aug_discomfort_22_10.wav
tired,/home/habib/mindcloud/project/dataset/augmented/aug_tired_431_12.wav
discomfort,/home/habib/mindcloud/project/dataset/augmented/aug_discomfort_5_9.wav
discomfort,/home/habib/mindcloud/project/dataset/augmented/aug_discomfort_7_10.wav
tired,/home/habib/mindcloud/project/dataset/augmented/aug_tired_430_2.wav
hungry,/home/habib/mindcloud/project/dataset/hungry/9090c7a3-bebc-4485-aafc-64e4298da3ac-1430088396663-1.7-f-26-hu.wav
hungry,/home/habib/mindcloud/project/dataset/hungry/c7fef089-4a65-4b75-bfd4-bae0e3518adf-1430754388848-1.7-m-04-hu.wav
tired,/home/habib/mindcloud/project/dataset/augmented/aug_tired_420_0.wav
discomfort,/home/habib/mindcloud/project/dataset/augmented/aug_discomfort_25_5.wav
hungry,/home/habib/mindcloud/project/dataset/hungry/B2A105BB-347B-4878-A735-AA4ECF32CD16-1436864116-1.1-m-26-hu.wav
hungry,/home/habib/mindcloud/project/dataset/hungry/376C006E-3664-4056-80D0-7661F631A062-1436930593-1.1-m-26-hu.wav
tired,/home/habib/mindcloud/project/dataset/augmented/aug_tired_429_4.wav
tired,/home/habib/mindcloud/project/dataset/augmented/aug_tired_418_9.wav
discomfort,/home/habib/mindcloud/project/dataset/augmented/aug_discomfort_13_7.wav
tired,/home/habib/mindcloud/project/dataset/augmented/aug_tired_420_13.wav
hungry,/home/habib/mindcloud/project/dataset/hungry/1f40790f-68f2-4e7e-845e-715bd97c82d0-1429979603276-1.7-m-72-hu.wav
tired,/home/habib/mindcloud/project/dataset/augmented/aug_tired_420_15.wav
tired,/home/habib/mindcloud/project/dataset/augmented/aug_tired_425_1.wav
hungry,/home/habib/mindcloud/project/dataset/hungry/F4A0C710-AC2D-42E0-8EA9-3E4CAC31EE20-1430318416-1.0-m-04-hu.wav
discomfort,/home/habib/mindcloud/project/dataset/augmented/aug_discomfort_25_2.wav
hungry,/home/habib/mindcloud/project/dataset/hungry/3bb2445a-9ae9-4dc8-9a2e-86c696ffa405-1430146536552-1.7-m-26-hu.wav
discomfort,/home/habib/mindcloud/project/dataset/augmented/aug_discomfort_24_12.wav
hungry,/home/habib/mindcloud/project/dataset/hungry/2602b7c2-e96d-42f6-9767-f1ae74925ef8-1431376228657-1.7-f-22-hu.wav
discomfort,/home/habib/mindcloud/project/dataset/augmented/aug_discomfort_17_1.wav
discomfort,/home/habib/mindcloud/project/dataset/augmented/aug_discomfort_26_5.wav
hungry,/home/habib/mindcloud/project/dataset/hungry/AE02C934-F4E5-4C73-818D-56AA6887EC18-1430279454-1.0-m-26-hu.wav
hungry,/home/habib/mindcloud/project/dataset/hungry/efd13da0-d40e-48bc-b14e-dee28af4d3c6-1430728179252-1.7-m-22-hu.wav
hungry,/home/habib/mindcloud/project/dataset/hungry/92d08bbe-553f-4844-85b1-15d572f06ea2-1436873211119-1.7-m-04-hu.wav
tired,/home/habib/mindcloud/project/dataset/augmented/aug_tired_418_3.wav
tired,/home/habib/mindcloud/project/dataset/augmented/aug_tired_426_6.wav
hungry,/home/habib/mindcloud/project/dataset/hungry/e4051e62-d21d-4bb8-a235-fd7e859ad787-1430739655763-1.7-m-04-hu.wav
hungry,/home/habib/mindcloud/project/dataset/hungry/999bf14b-e417-4b44-b746-9253f81efe38-1430844940177-1.7-m-04-hu.wav
discomfort,/home/habib/mindcloud/project/dataset/augmented/aug_discomfort_14_4.wav
tired,/home/habib/mindcloud/project/dataset/augmented/aug_tired_418_0.wav
tired,/home/habib/mindcloud/project/dataset/augmented/aug_tired_431_2.wav
discomfort,/home/habib/mindcloud/project/dataset/augmented/aug_discomfort_9_4.wav
hungry,/home/habib/mindcloud/project/dataset/hungry/3c51dedc-6e4c-47dd-a179-86a25e95f1ef-1430651049104-1.7-m-72-hu.wav
tired,/home/habib/mindcloud/project/dataset/augmented/aug_tired_426_14.wav
tired,/home/habib/mindcloud/project/dataset/augmented/aug_tired_424_5.wav
hungry,/home/habib/mindcloud/project/dataset/hungry/3941D08C-5A97-48A4-8830-091D878137F6-1430099813-1.0-m-72-hu.wav
tired,/home/habib/mindcloud/project/dataset/tired/7A22229D-06C2-4AAA-9674-DE5DF1906B3A-1436891944-1.1-m-72-ti.wav
tired,/home/habib/mindcloud/project/dataset/augmented/aug_tired_424_12.wav
tired,/home/habib/mindcloud/project/dataset/augmented/aug_tired_414_11.wav
hungry,/home/habib/mindcloud/project/dataset/hungry/7A864194-4B6B-4850-ABBF-0C2A8170107B-1436846824-1.1-f-26-hu.wav
tired,/home/habib/mindcloud/project/dataset/augmented/aug_tired_413_7.wav
hungry,/home/habib/mindcloud/project/dataset/hungry/7B924575-21FC-462A-969E-BABB46D1CBF5-1430055234-1.0-f-72-hu.wav
tired,/home/habib/mindcloud/project/dataset/augmented/aug_tired_424_1.wav
tired,/home/habib/mindcloud/project/dataset/augmented/aug_tired_412_8.wav
discomfort,/home/habib/mindcloud/project/dataset/augmented/aug_discomfort_6_5.wav
hungry,/home/habib/mindcloud/project/dataset/hungry/2e25d0a5-0b2b-44ef-8491-e445b16ea75c-1430056332640-1.7-f-26-hu.wav
discomfort,/home/habib/mindcloud/project/dataset/augmented/aug_discomfort_12_7.wav
tired,/home/habib/mindcloud/project/dataset/augmented/aug_tired_424_6.wav
tired,/home/habib/mindcloud/project/dataset/augmented/aug_tired_422_0.wav
tired,/home/habib/mindcloud/project/dataset/augmented/aug_tired_418_8.wav
discomfort,/home/habib/mindcloud/project/dataset/augmented/aug_discomfort_17_10.wav
discomfort,/home/habib/mindcloud/project/dataset/augmented/aug_discomfort_24_0.wav
discomfort,/home/habib/mindcloud/project/dataset/augmented/aug_discomfort_25_12.wav
